"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"POISON IVY",1963,"1964","The Rolling Stones (EP) (UK)More Hot Rocks (Big Hits & Fazed Cookies) (US)",NA,NA,NA,NA,"Jerry Leiber/Mike Stoller","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"POTTED SHRIMP",1970,NA,"bootleg recording/outtake","/","/","/","/",NA,"instrumental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"PRETTY BEAT UP",1983,"1983","Undercover","Universal","Studio","7","04:05","Jagger/Richards/Wood","Jagger",0.07845,0.573,0.8995,0.6655,0.241,-6.8425,0.03735,97.3445,0.7355,16.5,244366.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"PRODIGAL SON",1968,"1968","Beggars Banquet","ABKCO Records","Studio","7","02:52","Rev. Robert Wilkins","Jagger",0.573666666666667,0.603333333333333,0.646333333333333,0.00484,0.411333333333333,-9.557,0.0575666666666667,104.061666666667,0.275933333333333,21,195510.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"RAIN FALL DOWN",2004,"2005","A Bigger Bang","Virgin","Studio","4","04:53","Jagger/Richards","Jagger",0.11422,0.585666666666667,0.886666666666667,0.01418,0.371266666666667,-5.87533333333333,0.0741333333333333,98.6903333333333,0.467333333333333,28.3333333333333,305733,"17.12. 2005","33","03","00","__","__","__","33","—","80","31","—","77","","37","__"
"RESPECTABLE",1977,"1978","No Security","Virgin","Live","11","03:19","Jagger/Richards","Jagger",0.109738571428571,0.372714285714286,0.987,0.525121571428571,0.4515,-3.93328571428571,0.0954142857142857,154.752428571429,0.602,20.1428571428571,192681.571428571,"30.09. 1978","23","09","00","—","—","__","23","—","—","18","—","—","—","__",""
"RIDE 'EM ON DOWN",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","7","02:48","Eddie Taylor","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"RIDE ON, BABY",1965,"1967","Flowers","ABKCO Records",NA,"11","02:53","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"RIP THIS JOINT",1971,"1972","Exile on Main St.","Virgin","Studio","2","02:22","Jagger/Richards","Jagger",0.083095,0.4311,0.9545,0.368198617,0.6856,-4.2731,0.08459,114.6669,0.6422,18.7,150077.1,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ROCK AND A HARD PLACE",1989,"1989","Flashpoint","Virgin","Live","5","04:51","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.11. 1989","63","03","00","__","__","99","63","23","—","23","—","—","10","—",""
"ROCK ME BABY (LIVE)",2002,"2004","Live Licks","Virgin","Live",NA,NA,"B.B. King/Joe Bihari","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"ROCKS OFF",1971,"1972","Exile on Main St.","Virgin","Studio","1","04:33","Jagger/Richards","Jagger",0.1487,0.4015,0.951875,0.0845550125,0.519,-4.660375,0.1405875,143.607875,0.566,22,273084,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","13","—","—","__",""
"ROUGH JUSTICE",2004,"2005","A Bigger Bang","Virgin","Studio","1","03:11","Jagger/Richards","Jagger",0.153406666666667,0.367666666666667,0.917666666666667,0.296056166666667,0.407333333333333,-3.69666666666667,0.0900666666666667,140.159333333333,0.422666666666667,22.3333333333333,195808.333333333,"/ ","/ ","/ ","/ ","__","__","__","—","—","—","—","—","—","","—","__"
"ROUTE 66",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Bobby Troup","Jagger",0.17677,0.4984,0.8269,0.2195811,0.45404,-8.2304,0.09293,119.6343,0.7492,19.6,159593,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","—","—","—","__",""
"RUBY TUESDAY",1966,"1967","Flowers","ABKCO Records",NA,"1","03:17","Jagger/Richards","Jagger",0.762857142857143,0.477571428571429,0.676857142857143,0.000285965714285714,0.528285714285714,-8.63971428571429,0.0365,106.019571428571,0.482428571428571,27.8571428571429,205883.285714286,"/ ","/ ","/ ","/ ","1","1","__","—","3","1","—","—","3","2","__","RIAA: Gold[60]"
"SAD DAY",1965,"1973","No Stone Unturned (UK)B-side of ""19th Nervous Breakdown (US)",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","19","—","—","—","__",""
"SAD SAD SAD",1989,"1989","Flashpoint","Virgin","Live","3","03:32","Jagger/Richards","Jagger",0.09138,0.348,0.9838,0.31076,0.7782,-4.9104,0.0868,155.9038,0.4888,19.2,216858.4,"/ ","/ ","/ ","/ ","__","__","—","—","—","—","71","—","—","—","—",""
"SAINT OF ME",1997,"1997","No Security","Virgin","Live","7","05:17","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07.02. 1998","26","02","00","__","__","__","26","94","68","52","—","—","24","25","__"
"SALT OF THE EARTH",1968,"1968","Beggars Banquet","ABKCO Records","Studio","10","04:47","Jagger/Richards","Jagger, Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SEND IT TO ME",1979,"1980","Emotional Rescue","Universal","Studio","3","03:42","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SEX DRIVE",1991,"1991","Flashpoint","Virgin","Live","17","04:27","Jagger/Richards","Jagger",0.019345,0.6055,0.948,0.002235,0.295,-6.022,0.09165,109.812,0.854,14.5,286753,"/ ","/ ","/ ","/ ","__","__","133","—","—","—","24","—","—","—","—",""
"SHAKE YOUR HIPS",1971,"1972","Exile on Main St.","Virgin","Studio","3","02:59","Slim Harpo","Jagger",0.69,0.374,0.787,0.831,0.203,-7.054,0.0617,180.496,0.763,26.6666666666667,179000,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SHATTERED",1977,"1978","Shine a Light","Interscope","Live","2","04:06","Jagger/Richards","Jagger",0.256735714285714,0.504,0.968571428571429,0.0963808571428571,0.600142857142857,-4.05871428571429,0.161142857142857,150.717428571429,0.551285714285714,23.7142857142857,255559.714285714,"/ ","/ ","/ ","/ ","27","31","__","—","31","—","—","—","—","32","__",""
"SHE SAID YEAH",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","1","01:35","Sonny Bono/Roddy Jackson","Jagger",0.030925,0.40425,0.8425,0.03445,0.057325,-7.82875,0.0657,111.2635,0.82975,13,94193,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SHE SAW ME COMING",2004,"2005","A Bigger Bang","Virgin","Studio","7","03:12","Jagger/Richards","Jagger",0.159,0.501,0.931,0,0.357,-2.386,0.0472,94.228,0.854,22,192573,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SHE SMILED SWEETLY",1966,"1967","Between the Buttons","ABKCO Records","Studio","5","02:45","Jagger/Richards","Jagger",0.0936,0.339,0.29975,0.0045275,0.12125,-12.08875,0.123,191.28375,0.217,17.25,164776.25,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SHE WAS HOT",1982,"1983","Shine a Light","Interscope","Live","3","04:44","Jagger/Richards","Jagger",0.0263,0.4935,0.935,0.0907,0.1877,-6.734,0.0531,151.7795,0.693,27.5,281186.5,"11.02. 1984","42","04","00","__","__","60","42","44","54","18","—","—","—","—",""
"SHE'S A RAINBOW",1967,"1967","Rolling Stones Chronicles",NA,NA,"3","04:13","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","10","9","__","—","25","—","—","10","3","9","__",""
"SHE'S SO COLD",1979,"1980","Emotional Rescue","Universal","Studio","9","04:13","Jagger/Richards","Jagger",0.327,0.625333333333333,0.835333333333333,0.243866666666667,0.2876,-7.059,0.0776333333333333,149.281,0.77,33.3333333333333,252199.666666667,"04.10. 1980","33","06","00","__","__","49","33","26","—","23","—","—","11","—",""
"SHINE A LIGHT",1970,"1972","Exile on Main St.","Virgin","Studio","17","04:17","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SHORT AND CURLIES",1974,"1974","It's Only Rock 'n' Roll","Virgin",NA,"9","02:43","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SILVER TRAIN",1973,"1973","Goats Head Soup","Interscope / Polydor","Studio","6","04:26","Jagger/Richards","Jagger",0.228,0.43475,0.8905,0.438575,0.59075,-4.9275,0.037075,147.50525,0.851,21.75,267589.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SING THIS ALL TOGETHER",1967,"1967","Their Satanic Majesties Request","ABKCO Records","Studio","1","03:46","Jagger/Richards","Jagger",0.731,0.57,0.784333333333333,0.001219,0.554,-10.304,0.0495666666666667,121.947,0.509,18.3333333333333,226853,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THE SINGER NOT THE SONG",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","5","02:23","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SISTER MORPHINE",1969,"1971","Sticky Fingers","Virgin","Studio","8","05:34","Jagger/Richards/Marianne Faithfull","Jagger",0.14538,0.3328,0.6812,0.0572036,0.455,-6.5144,0.05004,103.8528,0.2556,25.6,346244.8,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SITTIN' ON A FENCE",1965,"1967","Flowers","ABKCO Records",NA,"12","03:02","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SLAVE",1981,"1981","Tattoo You","Virgin","Studio","3","06:32","Jagger/Richards","Jagger",0.1345,0.5605,0.868,0.3505,0.0521,-6.02825,0.04635,133.28425,0.854,27.5,392503,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SLEEP TONIGHT",1985,"1986","Dirty Work","Virgin","Studio","10","05:13","Jagger/Richards","Jagger",0.0613,0.488,0.667,4.425e-05,0.2905,-5.3015,0.02805,73.787,0.3805,17.5,310706,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SLIPPING AWAY",1989,"1989","Stripped","Virgin","Live","10","04:55","Jagger/Richards","Richards",0.328414285714286,0.497571428571429,0.662571428571429,0.000478284285714286,0.507228571428571,-8.36171428571429,0.0378714285714286,114.665428571429,0.574428571428571,16.4285714285714,313342.714285714,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SHE NEVER LISTENS TO ME",1985,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SOME GIRLS",1977,"1978","Shine a Light","Interscope","Live","7","04:19","Jagger/Richards","Jagger",0.48025,0.40975,0.93925,0.3909325,0.4565,-3.21525,0.0986,95.04,0.503,25.5,284323,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SOME THINGS JUST STICK IN YOUR MIND",1965,"1975","Metamorphosis",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SOMETHING HAPPENED TO ME YESTERDAY",1966,"1967","Between the Buttons","ABKCO Records","Studio","12","04:55","Jagger/Richards","Jagger, Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SOUL SURVIVOR",1971,"1972","Exile on Main St.","Virgin","Studio","18","03:49","Jagger/Richards","Jagger",0.13048,0.3298,0.9066,0.11956,0.2524,-4.324,0.03998,115.0524,0.561,18.2,232850.4,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SPARKS WILL FLY",1993,"1994","Voodoo Lounge","Virgin","Studio","3","03:16","Jagger/Richards","Jagger",0.0512966666666667,0.355333333333333,0.954666666666667,0.0019,0.743333333333333,-5.809,0.0997333333333333,156.142666666667,0.504666666666667,18.6666666666667,232480,"/ ","/ ","/ ","/ ","__","__","__","—","—","—","—","—","—","57","—","__"
"THE SPIDER AND THE FLY",1965,"1965","Stripped","Virgin","Live","5","03:28","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STAR STAR",1972,"1973","Goats Head Soup","Interscope / Polydor","Studio","10","04:23","Jagger/Richards","Jagger",0.2084875,0.410625,0.952875,0.1297499,0.687125,-5.1255,0.07115,149.7525,0.807,23.5,255036.25,"/ ","/ ","/ ","/ ","—","—","__","—","—","32","21","2","7","—","__",""
"START ME UP",1979,"1981","Shine a Light","Interscope","Live","16","04:05","Jagger/Richards","Jagger",0.138128333333333,0.492708333333333,0.958125,0.2364871375,0.7549,-4.21183333333333,0.0774833333333333,128.160416666667,0.6605,23.5,246289.958333333,"29.08. 1981","07","09","00","__","__","1","7","2","36","5","9","5","2","—","UK: Platinum[17]
ITA: Gold"
"STEWED AND KEEFED (BRIAN'S BLUES)",1964,NA,"bootleg recording/outtake","/","/","/","/","Nanker Phelge/Stewart","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STILL A FOOL",1968,NA,"bootleg recording/outtake","/","/","/","/","Muddy Waters","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STONED",1963,"1963","B-side of ""I Wanna Be Your Man"" (UK)Singles Collection: The London Years (US)",NA,NA,NA,NA,"Nanker Phelge[a]","instrumental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STOP BREAKING DOWN",1971,"1972","Exile on Main St.","Virgin","Studio","16","04:34","Robert Johnson","Jagger",0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,104.411,0.91,23,274773,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THE STORM",1993,"1994","The Singles 1971–2006",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STRAY CAT BLUES",1968,"1968","Get Yer Ya-Ya's Out!","ABKCO Records","Live","3","03:46","Jagger/Richards","Jagger",0.1442875,0.3555,0.797625,0.10390125,0.3608875,-7.332875,0.0532875,126.1855,0.48575,19.875,243314.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STREET FIGHTING MAN",1968,"1968","Rolling Stones Chronicles",NA,NA,"4","03:15","Jagger/Richards","Jagger",0.111574958823529,0.338823529411765,0.920647058823529,0.297284264705882,0.795529411764706,-5.81976470588235,0.0705235294117647,130.614294117647,0.460235294117647,19.3529411764706,253937.058823529,"03.07. 1971","21","08","00","30","28","__","—","48","7","8","—","4","32","__",""
"STREETS OF LOVE",2004,"2005","A Bigger Bang","Virgin","Studio","5","05:10","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","15","—","15","5","—","21","","21","__"
"STRICTLY MEMPHIS",1985,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STUCK OUT ALL ALONE",1968,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"STUPID GIRL",1965,"1966","Aftermath","ABKCO Records","Studio","2","02:55","Jagger/Richards","Jagger",0.176666666666667,0.695666666666667,0.805666666666667,0.544,0.219333333333333,-11.8623333333333,0.06,130.883333333333,0.898333333333333,21.6666666666667,174959.666666667,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SUCK ON THE JUGULAR",1993,"1994","Voodoo Lounge","Virgin","Studio","11","04:27","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SUMMER ROMANCE",1979,"1980","Emotional Rescue","Universal","Studio","2","03:16","Jagger/Richards","Jagger",0.0627,0.3465,0.9485,0.3775,0.294,-5.5995,0.147,168.9805,0.65,21,196073,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SUMMERTIME BLUES",1985,NA,"bootleg recording/outtake","/","/","/","/","Eddie Cochran/Jerry Capehart","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SURE THE ONE YOU NEED",1975,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Richards, Wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SURPRISE, SURPRISE",1964,"1965","The Rolling Stones, Now!","ABKCO Records","Studio","12","02:31","Jagger/Richards","Jagger",0.02445,0.7375,0.8695,2.98e-05,0.10295,-8.887,0.0713,107.709,0.926,14,151739.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SUSIE Q",1964,"1964","The Rolling Stones No.2","Decca","Studio","12","01:50","Dale Hawkins/Stan Lewis/Eleanore Broadwater","Jagger",0.0377666666666667,0.507,0.762666666666667,0.733666666666667,0.202,-9.114,0.0336,80.8266666666667,0.967333333333333,20.3333333333333,110977.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SWAY",1970,"1971","Sticky Fingers","Virgin","Studio","2","03:53","Jagger/Richards","Jagger",0.209,0.29475,0.89,0.557525,0.48975,-3.4565,0.0418,152.37975,0.5525,29,227226.25,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SWEET BLACK ANGEL",1971,"1972","Exile on Main St.","Virgin","Studio","8","02:58","Jagger/Richards","Jagger",0.65,0.498,0.728,0.000172,0.114,-7.387,0.0373,174.33,0.609,24.6666666666667,177666,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","21","—","—","__",""
"SWEET LITTLE SIXTEEN",1978,NA,"bootleg recording/outtake","/","/","/","/","Chuck Berry","Jagger",0.00199,0.272,0.948,0.00404,0.92,-4.756,0.102,171.815,0.819,20,191493,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SWEET NEO CON",2004,"2005","A Bigger Bang","Virgin","Studio","13","04:33","Jagger/Richards","Jagger",0.0684,0.72,0.859,0.000773,0.553,-3.696,0.0378,113.065,0.898,20,273960,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SWEET VIRGINIA",1971,"1972","Exile on Main St.","Virgin","Studio","6","04:26","Jagger/Richards","Jagger",0.44822,0.4134,0.7605,7.2328e-05,0.5548,-7.0551,0.06267,108.9273,0.4423,21.7,283830,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SWEETHEARTS TOGETHER",1993,"1994","Voodoo Lounge","Virgin","Studio","10","04:45","Jagger/Richards","Jagger",0.0643,0.667,0.574,2.52e-05,0.153,-7.793,0.0271,127.325,0.632,30,285640,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"SYMPATHY FOR THE DEVIL",1968,"1968","Get Yer Ya-Ya's Out!","ABKCO Records","Live","6","06:51","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.09. 2003","14","07","00","—","—","__","—","—","—","—","—","—","—","__","GER: Gold
UK: Platinum[17]"
"TAKE IT OR LEAVE IT",1965,"1966","Flowers","ABKCO Records",NA,"10","02:47","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TALKIN' ABOUT YOU",1965,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","2","02:31","Chuck Berry","Jagger",0.11125,0.6645,0.63675,0.000612,0.05375,-8.344,0.03785,120.24975,0.84325,10.5,151159.75,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TELL ME",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Jagger/Richards","Jagger",0.0634333333333333,0.506333333333333,0.711,2.08e-06,0.528333333333333,-9.42766666666667,0.0843,121.999666666667,0.461333333333333,18.6666666666667,245306,"/ ","/ ","/ ","/ ","27","26","__","—","24","22","11","—","—","9","__",""
"TERRIFYING",1989,"1989","Steel Wheels","Virgin","Studio","3","04:53","Jagger/Richards","Jagger",0.0502,0.551666666666667,0.899666666666667,0.0651121,0.464333333333333,-6.59066666666667,0.0743333333333333,140.956,0.739,20.6666666666667,295013,"11.08. 1990","82","02","00","__","__","—","82","—","—","58","—","—","—","—",""
"THAT'S HOW STRONG MY LOVE IS",1965,"1965","Out of Our Heads","ABKCO Records","Studio","4","02:25","Roosevelt Jamison","Jagger",0.104526666666667,0.391833333333333,0.678333333333333,0.006286,0.3746,-7.39166666666667,0.0448333333333333,124.9195,0.5695,13.6666666666667,191877.333333333,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THIEF IN THE NIGHT",1997,"1997","No Security","Virgin","Live","12","05:37","Jagger/Richards/Pierre de Beauport","Richards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THINK",1965,"1966","Aftermath","ABKCO Records","Studio","6","03:10","Jagger/Richards","Jagger",0.00453333333333333,0.610333333333333,0.608333333333333,0.0846,0.172333333333333,-11.9963333333333,0.0437,132.978333333333,0.632333333333333,18.6666666666667,189613,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THIS PLACE IS EMPTY",2004,"2005","A Bigger Bang","Virgin","Studio","9","03:16","Jagger/Richards","Richards",0.309,0.4185,0.726,0.00054574,0.5295,-6.991,0.0408,133.707,0.5015,21,212106.5,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THROUGH THE LONELY NIGHTS",1973,"1974","Rarities 1971–2003",NA,"Compilation",NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"THRU AND THRU",1993,"1994","Voodoo Lounge","Virgin","Studio","14","06:15","Jagger/Richards","Richards",0.722,0.386,0.316,1.22e-05,0.0862,-9.595,0.0308,83.51,0.191,38,361093,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TIE YOU UP (THE PAIN OF LOVE)",1982,"1983","Undercover","Universal","Studio","3","04:16","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TILL THE NEXT GOODBYE",1973,"1974","It's Only Rock 'n' Roll","Virgin",NA,"4","04:36","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TIME IS ON MY SIDE",1964,"1964","Got Live If You Want It!","ABKCO Records / Universal","Live","9","02:49","Norman Meade/Jimmy Norman","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02.10. 1982","62","02","00","6","28","__","—","6","10","11","4","3","—","__",""
"TIME WAITS FOR NO ONE",1973,"1974","It's Only Rock 'n' Roll","Virgin",NA,"5","06:38","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TOO MUCH BLOOD",1982,"1983","Undercover","Universal","Studio","6","06:14","Jagger/Richards","Jagger",0.0163,0.595,0.8525,0.1765,0.05335,-8.2425,0.0507,116.391,0.521,29,374386.5,"/ ","/ ","/ ","/ ","__","__","—","—","—","—","—","—","—","—","—",""
"TOO RUDE",1985,"1986","Dirty Work","Virgin","Studio","5","03:13","Lindon Roberts","Richards",0.25,0.616,0.8265,2.535e-05,0.0225,-5.249,0.0699,165.0725,0.8685,18,190626,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TOO TIGHT",1997,"1997","Bridges to Babylon","Virgin","Studio","11","03:37","Jagger/Richards","Jagger",0.0002685,0.3345,0.9055,0.3765,0.1405,-5.169,0.04585,150.4435,0.5785,24.5,214186,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"TOO TOUGH",1982,"1983","Undercover","Universal","Studio","8","03:51","Jagger/Richards","Jagger",0.01245,0.5465,0.9015,0.07295,0.4315,-7.166,0.04425,139.685,0.642,17,231733,"/ ","/ ","/ ","/ ","__","__","—","—","—","—","—","—","—","—","—",""
