"Title","Year Recorded","Year Released","Album name","Record Label","Album type","Track number","Song duration","Songwriter(s)","Lead vocal(s)","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms","Date","Peak  Pos","WoC","WksNo 1","US Cash","US Rec World","AUS[7][61]","UK[5]","US[6]","GER[10]","NLD[12]","FRA","SWI[59]","CAN","POL","Certification"
"LET'S SPEND THE NIGHT TOGETHER",1966,"1967","Flowers","ABKCO Records",NA,"3","03:38","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.01. 1967","03","10","00","—","—","__","3","—","1","2","3","—","—","__",""
"LIES",1977,"1978","Some Girls","Universal","Studio","5","03:11","Jagger/Richards","Jagger",0.437,0.382,0.997,0.95,0.617,-1.568,0.188,162.428,0.563,23,191266,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LIKE A ROLLING STONE (LIVE)",1995,"1995","Stripped","Virgin","Live","2","05:38","Bob Dylan","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","12","—","48","10","45","—","15","—","__"
"LINDA LU",1979,NA,"bootleg recording/outtake","/","/","/","/","Ray Sharpe","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LITTLE BABY (LIVE)",1995,"1995","Stripped","Virgin","Live","14","04:00","Willie Dixon","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LITTLE BY LITTLE",1964,"1964","The Rolling Stones (UK)England's Newest Hit Makers (US)",NA,NA,NA,NA,"Nanker Phelge[a]/Phil Spector/Ian Stewart","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LITTLE QUEENIE (LIVE)",1969,"1970","Get Yer Ya-Ya's Out!","ABKCO Records","Live","8","04:33","Chuck Berry","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","—","—","19","12","—","5","—","__",""
"LITTLE RAIN",2015,"2016","Blue & Lonesome","Interscope / Polydor","Studio","10","03:32","Ewart G.Abner Jr./Jimmy Reed","Jagger",0.844,0.432,0.384,0.0471,0.102,-6.894,0.0279,94.38,0.168,31,212213,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LITTLE RED ROOSTER",1964,"1964","The Rolling Stones, Now!","ABKCO Records","Studio","11","03:06","Willie Dixon","Jagger",0.226902222222222,0.493444444444444,0.688777777777778,0.152898888888889,0.730044444444444,-8.24588888888889,0.0766666666666667,116.539777777778,0.515222222222222,18.2222222222222,265227.888888889,"25.11. 1964","01","12","01","—","—","__","1","—","14","4","21","—","—","__",""
"LITTLE T&A",1979,"1981","Tattoo You","Virgin","Studio","4","03:23","Jagger/Richards","Richards",0.15414,0.4962,0.913,0.1579,0.6264,-4.883,0.04438,124.4074,0.7528,25.8,203301.2,"/ ","/ ","/ ","/ ","__","__","—","—","—","—","—","—","—","—","—",""
"LIVE WITH ME",1969,"1969","Get Yer Ya-Ya's Out!","ABKCO Records","Live","7","03:02","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","—","—","__","—","—","—","—","21","—","—","__",""
"LIVING IN A GHOST TOWN",2019,"2020","Non-album single",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07.05. 2020","61","02","00","__","__","__","__","__","__","__","__","__","__","__","__"
"LONG LONG WHILE",1966,"1966","No Stone Unturned (UK)More Hot Rocks (Big Hits & Fazed Cookies) (US)",NA,NA,NA,NA,"Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LOOK WHAT THE CAT DRAGGED IN",2004,"2005","A Bigger Bang","Virgin","Studio","14","03:57","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LOOK WHAT YOU'VE DONE",1964,"1965","December's Children (And Everybody's)","ABKCO Records","Studio","4","02:16","Muddy Waters","Jagger",0.498,0.5665,0.5725,0.2505,0.5545,-9.6,0.05425,98.461,0.77,12.5,135753,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
"LOOKING TIRED",1964,NA,"bootleg recording/outtake","/","/","/","/","Jagger/Richards","Jagger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/ ","/ ","/ ","/ ","__","__","__","__","__","__","__","__","__","__","__","__"
